4,24,,,,,,,,,,,,,,
1,24,,,,,,,,,,,,,,
4,25,,,,,,,,,,,,,,
4,26,,,,,,,,,,,,,,
4,27,,,,,,,,,,,,,,
4,28,,,,,,,,,,,,,,
1,25,,,,,,,,,,,,,,
5,9,,,,,,,,,,,,,,
5,10,,,,,,,,,,,,,,
2,37,,,,,,,,,,,,,,
2,38,,,,,,,,,,,,,,
1,26,,,,,,,,,,,,,,
2,39,,,,,,,,,,,,,,
3,25,,,,,,,,,,,,,,
3,26,,,,,,,,,,,,,,
3,27,,,,,,,,,,,,,,
1,27,,,,,,,,,,,,,,
2,40,,,,,,,,,,,,,,
2,41,,,,,,,,,,,,,,
2,42,,,,,,,,,,,,,,
4,29,,,,,,,,,,,,,,
1,28,,,,,,,,,,,,,,
4,30,,,,,,,,,,,,,,
4,31,,,,,,,,,,,,,,
4,32,,,,,,,,,,,,,,
3,28,,,,,,,,,,,,,,
1,29,,,,,,,,,,,,,,
2,43,,,,,,,,,,,,,,
2,44,,,,,,,,,,,,,,
2,45,,,,,,,,,,,,,,
3,29,,,,,,,,,,,,,,
1,30,,,,,,,,,,,,,,
3,30,,,,,,,,,,,,,,
5,11,,,,,,,,,,,,,,
5,12,,,,,,,,,,,,,,
4,33,,,,,,,,,,,,,,
1,31,,,,,,,,,,,,,,
2,46,,,,,,,,,,,,,,
2,47,,,,,,,,,,,,,,
2,48,,,,,,,,,,,,,,
4,34,,,,,,,,,,,,,,
1,32,,,,,,,,,,,,,,
4,35,,,,,,,,,,,,,,
4,36,,,,,,,,,,,,,,
4,37,,,,,,,,,,,,,,
3,31,,,,,,,,,,,,,,
1,33,,,,,,,,,,,,,,
3,32,,,,,,,,,,,,,,
3,33,,,,,,,,,,,,,,
2,49,,,,,,,,,,,,,,
2,50,,,,,,,,,,,,,,
1,34,,,,,,,,,,,,,,
2,51,,,,,,,,,,,,,,
5,13,,,,,,,,,,,,,,
5,14,,,,,,,,,,,,,,
3,34,,,,,,,,,,,,,,
1,35,,,,,,,,,,,,,,
2,52,,,,,,,,,,,,,,
2,53,,,,,,,,,,,,,,
2,54,,,,,,,,,,,,,,
3,35,,,,,,,,,,,,,,
1,36,,,,,,,,,,,,,,
3,36,,,,,,,,,,,,,,
4,38,,,,,,,,,,,,,,
4,39,,,,,,,,,,,,,,
4,40,,,,,,,,,,,,,,
1,37,,,,,,,,,,,,,,
2,55,,,,,,,,,,,,,,
2,56,,,,,,,,,,,,,,
2,57,,,,,,,,,,,,,,
3,37,,,,,,,,,,,,,,
1,38,,,,,,,,,,,,,,
3,38,,,,,,,,,,,,,,
3,39,,,,,,,,,,,,,,
4,41,,,,,,,,,,,,,,
4,42,,,,,,,,,,,,,,
1,39,,,,,,,,,,,,,,
2,58,,,,,,,,,,,,,,
2,59,,,,,,,,,,,,,,
2,60,,,,,,,,,,,,,,
4,43,,,,,,,,,,,,,,
1,40,,,,,,,,,,,,,,
4,44,,,,,,,,,,,,,,
5,15,,,,,,,,,,,,,,
5,16,,,,,,,,,,,,,,
3,40,,,,,,,,,,,,,,
1,41,,,,,,,,,,,,,,
2,61,,,,,,,,,,,,,,
2,62,,,,,,,,,,,,,,
2,63,,,,,,,,,,,,,,
3,41,,,,,,,,,,,,,,
1,42,,,,,,,,,,,,,,
3,42,,,,,,,,,,,,,,
4,45,,,,,,,,,,,,,,
4,46,,,,,,,,,,,,,,
4,47,,,,,,,,,,,,,,
1,43,,,,,,,,,,,,,,
2,64,,,,,,,,,,,,,,
2,65,,,,,,,,,,,,,,
2,66,,,,,,,,,,,,,,
4,48,,,,,,,,,,,,,,
1,44,,,,,,,,,,,,,,
4,49,,,,,,,,,,,,,,
3,43,,,,,,,,,,,,,,
3,44,,,,,,,,,,,,,,
3,45,,,,,,,,,,,,,,
1,45,,,,,,,,,,,,,,
5,17,,,,,,,,,,,,,,
5,18,,,,,,,,,,,,,,
2,67,,,,,,,,,,,,,,
2,68,,,,,,,,,,,,,,
1,46,,,,,,,,,,,,,,
2,69,,,,,,,,,,,,,,
3,46,,,,,,,,,,,,,,
3,47,,,,,,,,,,,,,,
3,48,,,,,,,,,,,,,,
1,47,,,,,,,,,,,,,,
2,70,,,,,,,,,,,,,,
2,71,,,,,,,,,,,,,,
2,72,,,,,,,,,,,,,,
4,50,,,,,,,,,,,,,,
